date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth
2020-03-12,2.0,5.4,147.0,11.0,7.7,4.5,1.2,100930.0,
2020-03-13,6.0,6.7,144.0,13.1,9.3,5.5,3.0,101780.0,
2020-03-14,7.0,3.1,115.0,13.6,10.1,6.6,0.8,101430.0,
2020-03-15,7.0,1.3,104.0,12.2,10.9,9.6,2.0,100850.0,
2020-03-16,4.0,1.3,73.0,13.0,7.9,2.9,0.0,101960.0,
2020-03-17,7.0,10.2,198.0,13.6,9.0,4.5,0.0,102720.0,
2020-03-18,7.0,0.6,88.0,15.6,12.5,9.5,0.8,102480.0,
2020-03-19,8.0,0.3,65.0,8.0,7.0,6.1,0.8,102600.0,
2020-03-20,7.0,0.0,35.0,10.1,8.1,6.1,0.0,102830.0,
2020-03-21,5.0,2.1,130.0,11.0,7.4,3.9,0.0,102690.0,
2020-03-22,2.0,10.8,229.0,11.4,7.4,3.4,0.0,102630.0,
2020-03-23,1.0,11.7,238.0,14.0,8.0,2.1,0.0,102640.0,
2020-03-24,3.0,13.4,244.0,15.6,8.0,0.5,0.0,102570.0,
2020-03-25,0.0,13.4,239.0,14.2,7.3,0.4,0.0,102460.0,
2020-03-26,2.0,13.6,247.0,14.0,7.5,1.1,0.0,102320.0,
2020-03-27,0.0,13.1,241.0,14.0,7.7,1.5,0.0,102380.0,
2020-03-28,3.0,12.0,231.0,11.9,8.2,4.5,0.0,102800.0,
2020-03-29,1.0,6.1,160.0,8.1,5.8,3.5,0.0,103720.0,
2020-03-30,6.0,5.9,158.0,10.7,6.4,2.1,0.0,103540.0,
2020-03-31,3.0,1.4,105.0,11.4,7.0,2.6,0.0,103160.0,
2020-04-01,5.0,5.4,162.0,9.4,4.2,-0.9,0.0,102490.0,
2020-04-02,6.0,3.6,129.0,14.1,9.8,5.5,0.0,101650.0,
2020-04-03,6.0,2.8,138.0,14.2,10.5,6.9,0.0,101730.0,
2020-04-04,1.0,6.5,183.0,16.6,9.6,2.7,0.0,101990.0,
